#: P [GeV]			400		
#: RE			P NUCLEUS --> MU+ MU- X		
#: W(P=3 4) [GEV]			8.TO9.		
#: YRAP(P=3 4	RF=CM)			0.03	
# PT(P=3 4,RF=CM) [GEV]	PT(P=3 4,RF=CM) [GEV] LOW	PT(P=3 4,RF=CM) [GEV] HIGH	1/A*E(P=3 4,RF=CM)*D3(SIG)/D3(P(P=3 4,RF=CM)) [FB/GEV**2]	error +	error -
0.1	0	0.2	158	9	-9
0.3	0.2	0.4	138	5	-5
0.5	0.4	0.6	122	4	-4
0.7	0.6	0.8	112	4	-4
0.9	0.8	1	83	3	-3
1.1	1	1.2	63	3	-3
1.3	1.2	1.4	47	2	-2
1.5	1.4	1.6	39	2	-2
1.7	1.6	1.8	23	2	-2
1.9	1.8	2	17.1	1.2	-1.2
2.1	2	2.2	9.5	1.1	-1.1
2.3	2.2	2.4	7.2	0.9	-0.9
2.5	2.4	2.6	3.9	0.7	-0.7
2.7	2.6	2.8	3.3	0.6	-0.6
2.9	2.8	3	1.6	0.4	-0.4
3.1	3	3.2	0.84	0.36	-0.36
3.3	3.2	3.4	0.83	0.32	-0.32
3.5	3.4	3.6	0.26	0.18	-0.18
3.7	3.6	3.8	0.63	0.28	-0.28
4.7	4.6	4.8	0.15	0.15	-0.15


